subject,band,state,R,D_eff,M_tau,Pi,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy
SC4001,sigma,NREM,0.29228853606835764,1.000000000001,0.0946298485862292,0.9210858585858586,0.13524210850171486,0.040939778909585486,0.01992178583914421,0.004285813717687286,16.691785474028407,0.5574550428588919
SC4001,sigma,REM,0.1387667465317324,1.000000000001,0.09652174931009597,0.9173333333333333,0.26664503415445207,0.12007624308651181,0.0417507641492032,0.012585364475390383,11.711612206926803,0.7043009578802301
SC4001,sigma,Wake,0.10141158367921185,1.000000000001,0.09521644431983517,0.898936170212766,0.16105229481705893,0.10687160988791203,0.05133361227489117,0.03725146976597,7.3037038574980455,0.6595448379683782
SC4002,sigma,NREM,0.18181376915193898,1.000000000001,0.09705684117344801,0.9204389574759945,0.14947682451090924,0.044080402819479524,0.028290641784837214,0.007611862028566415,9.352553113176118,0.5877515918701314
SC4002,sigma,REM,0.08549600008006014,1.000000000001,0.0962658516118607,0.9023255813953488,0.2664309107069647,0.12846425804446374,0.06523635528139224,0.027703270508607925,5.984212935139174,0.7437362661874355
SC4002,sigma,Wake,0.07849224252351103,1.000000000001,0.09591344374629045,0.8961748633879781,0.214227088277229,0.16707974001044526,0.10433812048565012,0.07712600748649868,4.905928397782703,0.7705061485658451
SC4011,sigma,NREM,0.35923940652580366,1.000000000001,0.09137237996723087,0.8311855670103093,0.14245911270585584,0.052412374232451014,0.04265611134689544,0.005371405354191657,17.49840190379131,0.6078646072490282
SC4011,sigma,REM,0.1945847312645966,1.000000000001,0.0958286847872408,0.888235294117647,0.19432343316514683,0.06608610032185487,0.040859567473384706,0.010688111414091867,6.823322057779571,0.6528411054792863
SC4011,sigma,Wake,0.10295153423505639,1.000000000001,0.09571830038464861,0.8980891719745223,0.08171537049016284,0.08234387653471904,0.05960890068204364,0.047712220502652655,4.424807110551862,0.6257809909977285
SC4012,sigma,NREM,0.35981063254236495,1.000000000001,0.09132803770835203,0.8455188679245284,0.16047809987618894,0.051703632400633866,0.042021862455512884,0.0057978418590775216,15.0747476690654,0.6188257133184283
SC4012,sigma,REM,0.19083493906998142,1.000000000001,0.09610625561443303,0.9147727272727273,0.19419372437378615,0.07126174608204396,0.042743562156166044,0.012988542081053196,6.307072282772444,0.6610477496002222
SC4012,sigma,Wake,0.09208011490267724,1.000000000001,0.09562445233731401,0.8950617283950617,0.07746156320481475,0.11586474943384899,0.07942005028944626,0.07038254534031273,6.665589078245638,0.6541887045085335
SC4021,sigma,NREM,0.4362401797791339,1.000000000001,0.090870632090166,0.8723887375113534,0.11937794379383788,0.05673417194980283,0.04402562687840146,0.00631451224550169,15.10998745322524,0.5689712811557629
SC4021,sigma,REM,0.27718890414665665,1.000000000001,0.09721193084954058,0.9222903885480573,0.2102214332532885,0.10517441939615885,0.04850241388256462,0.011033364020966389,12.922208457532175,0.684689581666315
SC4021,sigma,Wake,0.0970972639524667,1.000000000001,0.09476219761294143,0.8984375,0.074963593502026,0.07596843956198286,0.19106518405279363,0.1962110886359541,0.6711259433572418,0.8230946862724852
SC4022,sigma,NREM,0.4009525956216549,1.000000000001,0.09241918313681953,0.857210401891253,0.09943096356209018,0.028110524030080266,0.02874397556262966,0.007212972459984137,5.837296647969544,0.5260374912978331
